DATE;IPG2211A2N
2015-01-01;1.199.317
2015-01-02;1.161.393
2015-01-03;1.040.218
2015-01-04;891.544
2015-01-05;90.695
2015-01-06;1.028.863
2015-01-07;1.119.826
2015-01-08;1.107.643
2015-01-09;1.017.996
2015-01-10;909.888
2015-01-11;922.113
2015-01-12;1.023.222
2016-01-01;1.168.926
2016-01-02;1.059.614
2016-01-03;942.339
2016-01-04;881.615
2016-01-05;894.711
2016-01-06;1.034.258
2016-01-07;1.141.946
2016-01-08;1.155.015
2016-01-09;1.022.398
2016-01-10;908.499
2016-01-11;926.032
2016-01-12;1.140.219
2017-01-01;1.164.746
2017-01-02;995.393
2017-01-03;1.010.063
2017-01-04;870.374
2017-01-05;903.591
2017-01-06;1.004.412
2017-01-07;1.112.371
2017-01-08;1.077.583
2017-01-09;970.813
2017-01-10;92.302
2017-01-11;977.214
2017-01-12;1.172.377
2018-01-01;1.289.071
2018-01-02;1.076.711
2018-01-03;1.045.716
2018-01-04;934.491
2018-01-05;932.405
2018-01-06;1.033.083
2018-01-07;1.133.178
2018-01-08;1.132.758
2018-01-09;1.015.656
2018-01-10;953.203
2018-01-11;103.575
2018-01-12;1.129.498
2019-01-01;1.237.687
